brand,slug,category,country,active_start,active_end,fate,summary,wikipedia_url
Aladdin's Castle,aladdins-castle,Retail/Entertainment,US,1976,2021,"After Namco USA closed in 2021, the brand's last surviving location in Quincy, Illinois was acquired by CTM Group and rebranded as ""At the Pier Arcade."" The Aladdin's Castle name is fully retired, though the physical space continues operating under new ownership.",,https://en.wikipedia.org/wiki/Aladdin%27s_Castle_(video_arcade)
Alexander the Grape,alexander-the-grape,Food/Candy,US,1971,"Unclear / original version discontinued, later revival appears absent from mainstream retail","Alexander the Grape was introduced by Ferrara in 1971, discontinued in its original form in the 1980s, and later brought back under 1908 Candy. Today it appears difficult to find in mainstream retail, with sold-out retailer pages and no strong official product page controlling the query.","Alexander the Grape is a grape-flavored retro candy that began under Ferrara in 1971. Candy-history sources say the original version was discontinued in the 1980s, then later reintroduced under 1908 Candy. That makes the brand more complicated than a simple one-time discontinuation story. The best current description is that Alexander the Grape is a revived legacy candy with weak modern retail visibility and fragmented information online.",
Almost Home Cookies (Nabisco),almost-home-cookies,Food/Snacks,US,early 1980s,mid-1990s,Discontinued sometime in the 1990s after the soft cookie segment cooled and Nabisco paid $52.9 million to settle a patent infringement suit brought by Procter and Gamble. The exact year of discontinuation is not documented in available sources.,"Nabisco’s Almost Home was positioned as soft, bakery-style cookies—chocolate chip, oatmeal raisin, peanut butter and seasonal varieties—aimed at delivering a ‘fresh from the oven’ vibe without baking. The line built a steady following in the 1980s–1990s, then faded as the company trimmed slower-moving SKUs and focused on bigger umbrellas like Chips Ahoy! and SnackWell’s. Today it survives mostly in nostalgia posts, vintage ads, and collectors’ packaging photos.",
American Apparel,american-apparel-original,Retail,US,1989,2017,Entered Chapter 11 in Oct 2015 and again in Nov 2016; intellectual property acquired by Gildan Activewear in Jan 2017. U.S. retail stores closed; brand later continued online under new ownership.,"Vertically integrated basics label famed for ""Made in USA"" production and provocative marketing; the original company went through two bankruptcies before its brand was sold in 2017.",https://en.wikipedia.org/wiki/American_Apparel
AOL Instant Messenger,aim,Software/Internet,US,1997,2017,"Service discontinued on Dec. 15, 2017 after declining usage, and shifts in mobile and social messaging.","AOL’s pioneering instant-messaging service (Buddy List, away messages) launched in 1997 and shut down in 2017.",https://en.wikipedia.org/wiki/AOL_Instant_Messenger
Apple Newtons,apple-newtons,Food/CPG,US,late 1980s,2010s (discontinued),"Discontinued as the Newtons lineup was pared back, the classic apple flavor quietly vanished by the 2010s.",A Nabisco/Newtons line extension that swapped fig for apple-cinnamon filling inside the familiar soft cake cookie. Apple Newtons had devoted fans through the 1990s–2000s but were eventually retired as the brand simplified its flavors and shifted focus.,
Austin Magic Pistol,austin-magic-pistol,Toys/Games,US,1946,1956,Discontinued in the mid-1950s after burn and eye injuries; never relaunched due to inherently dangerous mechanism.,Toy gun that created real explosions using calcium carbide and water,
Battlestar Galactica Colonial Viper,battlestar-galactica-viper,Toys/Games,US,1978,1978,Recalled in 1978 after child's death from choking on detached missile; led to mandatory warning labels on all projectile toys,"Licensed toy spaceship from the Battlestar Galactica TV series featuring spring-loaded missiles. A 4-year-old boy choked to death on a red plastic missile in 1978, leading to immediate recall and landmark changes to toy safety regulations requiring warnings on all toys with small projectiles.",
Best Buy Mobile,best-buy-mobile,Retail,US,2007,2018,Standalone mall stores closed in 2018; mobile departments continued inside full-line Best Buy stores.,,
BlackBerry legacy OS phones,blackberry-os-phones,Mobile devices,CA,1999,2016,Legacy BlackBerry OS/BB10 devices discontinued; handset business exited and brand later licensed to third parties on Android.,"QWERTY-keyboard smartphones built on BlackBerry OS/BB10 defined secure mobile email in the 2000s; hardware was wound down by 2016, with later Android models produced under license.",https://en.wikipedia.org/wiki/BlackBerry
